,Time,Headlines,Sentiment
1682,29-Apr-20,Airlines and oil giants are on the brink. No government should offer them a lifeline,1
1683,29-Apr-20,"British Airways plans to make up to 12,000 staff redundant",1
1684,29-Apr-20,"Nils Pratley on finance  


  Rishi Sunak will be alarmed but hard to see how BA job cuts could be avoided",3
1685,29-Apr-20,Charlotte Tilbury eyes £500m payout as makeup firm goes up for sale,5
1686,29-Apr-20,Women’s fashion manufacturer to make reusable gowns for NHS,5
1687,29-Apr-20,Do drive-through coronavirus testing at McDonald’s,4
1688,29-Apr-20,Brief letters  Sift out or bake in the lesser of two weevils,2
1689,29-Apr-20,Big retailers in Australia move to enhanced 'click and collect' shopping as coronavirus shutdown endures,5
1690,29-Apr-20,UN chief: don't use taxpayer money to save polluting industries,1
1691,29-Apr-20,Harley-Davidson's profits plunge amid coronavirus lockdown,1
1692,29-Apr-20,Ford set to restart main European car factories on Monday 4 May,1
1693,29-Apr-20,Nando's joins Burger King in reopening some branches for deliveries,4
1694,29-Apr-20,Business live  FTSE 100 hits seven-week high despite slump in UK retail sales and US confidence - as it happened,5
1695,29-Apr-20,Victoria Beckham firm sued by ex-employee over hand injury,1
1696,29-Apr-20,FCA warns banks not to put pressure on clients during Covid-19 crisis,1
1697,29-Apr-20,Rail season tickets: how to apply for a coronavirus refund,1
1698,29-Apr-20,BP plunges into first-quarter loss after oil price collapse,1
1699,29-Apr-20,"UK retail suffering from collapse in consumer spending, says CBI",1
1700,28-Apr-20,Thinktank predicts £800bn hit to economy in UK over next 10 years,1
1701,28-Apr-20,Executive pay capped at private hospitals during NHS takeover,4
1702,28-Apr-20,African Americans bear the brunt of Covid-19's economic impact,4
1703,28-Apr-20,China starts major trial of state-run digital currency,5
1704,28-Apr-20,UK consumers choosing big weekly shops during lockdown,1
1705,28-Apr-20,Rishi Sunak's coronavirus rescue plan is failing. Labour can help make it work,2
1706,28-Apr-20,"Project Syndicate economists  


  Economic recovery from the Covid-19 crisis will need a balancing act",3
1707,28-Apr-20,HSBC could have to put aside £8.8bn to cover bad debts in coronavirus crisis,1
1708,28-Apr-20,Marks & Spencer scraps shareholder payout amid Covid-19 crisis,1
1709,28-Apr-20,Consumer champions  Why is Eurostar setting a deadline for using its vouchers?,1
1710,28-Apr-20,Britain breaks record for coal-free power generation,5
1711,28-Apr-20,"Sales of almost 400,000 homes stalled due to lockdown, says Zoopla",1
1712,28-Apr-20,"Airbus to furlough 3,000 staff in Wales after warning it is 'bleeding cash'",1
1713,28-Apr-20,Ministers meet unions and business to plan getting UK back to work,5
1714,28-Apr-20,"Nils Pratley on finance  


  Stock market plunge is the time to ditch long-term rewards for CEOs",1
1715,28-Apr-20,Norwegian Air says most of fleet will stay grounded until 2021,3
1716,28-Apr-20,UK betting firms to stop advertising on TV and radio during lockdown,1
1717,28-Apr-20,"Politics live with Andrew Sparrow  UK coronavirus live: some non-Covid NHS treatments to restart, as 360 hospital deaths take toll to 21,092 - as it happened",1
1718,28-Apr-20,The Guardian view on resetting relations with China: times are changing,4
1719,28-Apr-20,Sunak rejects church leaders' call to bar tax-haven firms from bailouts,1
1720,27-Apr-20,Business live  More than 4m UK workers furloughed during coronavirus crisis - as it happened,1
1721,27-Apr-20,UK to halt several ventilator projects after fall in demand,1
1722,27-Apr-20,Sunak backs down and offers small firms 100% loan guarantees,5
1723,27-Apr-20,Firms receiving coronavirus help told to cut executive pay,1
1724,27-Apr-20,Greggs to start reopening shops amid coronavirus lockdown,1
1725,27-Apr-20,Admiral shelves only part of dividend amid coronavirus crisis,1
1726,27-Apr-20,Consumer champions  Why did Ryanair stop refunds and start offering only vouchers?,1
1727,27-Apr-20,Locked-down advertisers ask: is it too soon for jokes?,1
1728,27-Apr-20,UK economy will take three years to recover from coronavirus – EY,2
1729,27-Apr-20,FTSE 100 firms using furlough scheme pay CEOs average of £3.6m,1
1730,27-Apr-20,Bosses appeal to the government for a lockdown exit plan,1
1731,27-Apr-20,UK tourism hotspots could face worst of post-lockdown job losses,1
1732,27-Apr-20,The key areas to look at in easing the UK coronavirus lockdown,5
1733,27-Apr-20,The Guardian view on coronavirus and hunger: the bigger killer?,1
1734,27-Apr-20,Coronavirus: UK banks may need to put aside £5bn to cover losses in first quarter,1
1735,27-Apr-20,Virgin Atlantic hires bank in search for emergency funds,4
1736,27-Apr-20,UK traffic to film and TV piracy sites up nearly 60% in lockdown,1
1737,27-Apr-20,John Lewis to reopen factory to make Covid-19 gowns for NHS,4
1738,27-Apr-20,UK energy firms using debt collectors despite coronavirus agreement,1
1739,27-Apr-20,"Viewpoint column  


  Boris Johnson is riding high, but will he beat the curse of the crisis?",3
1740,26-Apr-20,'Haven't seen a dime': five small businesses on the struggle to survive a pandemic,4
1741,26-Apr-20,"'Heads we win, tails you lose': how America's rich have turned pandemic into profit",5
1742,26-Apr-20,"We're desperate for a coronavirus cure, but at what cost to the human guinea pigs?",3
1743,26-Apr-20,"Cut off by telecoms company, pensioner missed call as partner died of Covid-19",1
1744,26-Apr-20,"Business leader  


  The US can teach Europe a thing or two about financial crises",5
1745,26-Apr-20,Alone and disconnected: the woman left unable to call her dying partner,1
1746,26-Apr-20,Observer business agenda  Sainsbury’s top man steps down just as the panic-buying revenues roll in,1
1747,26-Apr-20,Tata Steel needs '£500m government bailout' as Covid-19 halts production,1
1748,26-Apr-20,A growing clamour of voices treats the pandemic as if it's just health and safety gone mad,1
1749,26-Apr-20,"In a post-pandemic world, collective action must still be valued",5
1750,26-Apr-20,Oil market faces storage crisis in a world awash with crude,5
1751,26-Apr-20,America’s fracking boom flounders as global prices and demand collapse,1
1752,26-Apr-20,Online auction of record-breaking whisky collection hit by cyber-attack,1
1753,26-Apr-20,Manchester University braced for losses of more than £270m,1
1754,26-Apr-20,Will shoppers return to the UK high street after lockdown?,1
1755,26-Apr-20,We'll survive! Why Hays Travel owners have no regrets on Thomas Cook rescue,5
1756,26-Apr-20,UK insurers face £1.2bn payouts for coronavirus crisis,1
1757,26-Apr-20,"Frequent gamblers betting more despite coronavirus sports lockdown, study says",1
1758,26-Apr-20,Funeral homes push for state help as lockdown leads to no-frills services,4
1759,26-Apr-20,PPE debacle should be sewn up on the home front,1
1760,24-Apr-20,Benevolence of Richard Branson and Virgin Group,5
1761,24-Apr-20,"UK lockdown sends retail sales to record low, but alcohol sales rise",1
1762,24-Apr-20,Business live  Stock markets slide after flurry of poor data - as it happened,2
1763,24-Apr-20,Dyson will not supply ventilators to NHS to treat Covid-19,1
1764,24-Apr-20,UK watchdog flooded with complaints over holiday refunds,1
1765,24-Apr-20,"Britain running down the clock in Brexit talks, says Michel Barnier",1
1766,24-Apr-20,Coronavirus travel shutdown: what are your rights?,1
1767,24-Apr-20,Church fund urges other ExxonMobil investors to sack board over climate,1
1768,24-Apr-20,Treasury mulling 100% government-backed loans for smallest firms,1
1769,24-Apr-20,Burberry directors take 20% pay cut and 'won't use furlough scheme',1
1770,24-Apr-20,UK housebuilder Persimmon joins return to site work,1
1771,24-Apr-20,The hunt for a coronavirus vaccine – a perilous and uncertain path,1
1772,24-Apr-20,"Virgin Australia owes $6.8bn to more than 12,000 creditors, documents reveal",1
1773,24-Apr-20,NHS pharmacy's business account frozen by Metro Bank,1
1774,24-Apr-20,Covid crisis watch  What will coronavirus mean for the British economy?,3
1775,24-Apr-20,"Thousands of firms may fail if rescue schemes not expanded, says CBI",1
1776,24-Apr-20,EU leaders clash over trillion-euro Covid-19 aid in online meeting,1
1777,24-Apr-20,"Nils Pratley on finance  


  The much-feared 'scarring' of the UK economy may be happening already",3
1778,24-Apr-20,Commercial property landlords banned from demanding rent arrears,1
1779,24-Apr-20,Full Story  Virgin Australia’s woes and the future of Australian air travel,5
1780,23-Apr-20,"Business live  Bank of England warns of worst contraction in centuries, as economic activity slumps - as it happened",1
1781,23-Apr-20,"Hotels, restaurants and pubs have furloughed 80% of staff, ONS finds",2
1782,23-Apr-20,Why few Britons pick fruit on our farm,1
1783,23-Apr-20,Coronavirus lockdown tips UK economy into biggest slump on record,1
1784,23-Apr-20,Train operators start devising plans to restore services,4
1785,23-Apr-20,Coronavirus: what would a year of physical distancing mean for the UK?,1
1786,23-Apr-20,Week in geek  Do we really need a Hunger Games prequel movie?,1
1787,23-Apr-20,Jaguar Land Rover and Aston Martin among UK firms planning return,1
1788,23-Apr-20,US unemployment applications reach over 26m as states struggle to keep up,1
1789,23-Apr-20,Coronavirus delivers a 'moment of truth' on the meaning of the EU,4
1790,23-Apr-20,Sir David Barnes obituary,5
1791,23-Apr-20,"Coronavirus will cause 'lasting changes' to shopping habits, says Unilever boss",3
1792,23-Apr-20,Low demand for oil isn't good news. It could cause a financial crisis,2
1793,23-Apr-20,"Spotify live  


  Spotify's 'tip jar' is a slap in the face for musicians. It should pay them better",2
1794,23-Apr-20,Family-friendly Animal Crossing takes video game top spot amid lockdown,5
1795,23-Apr-20,The US bailout was meant for small business – not giant corporations. What went wrong?,1
1796,23-Apr-20,Trader Joe’s and other US firms suppress unionization efforts during pandemic,1
1797,23-Apr-20,UK seeks to borrow £225bn to fund huge surge in public spending,1
1798,23-Apr-20,Cath Kidston agrees to hand over pay owed to UK staff in U-turn,1
1799,23-Apr-20,"Nils Pratley on finance  


  British Gas owner needs more than cost-cutting and energy prices prayer",4
1800,22-Apr-20,West Midlands economy hardest hit from Covid-19 as auto sector stalls,1
1801,22-Apr-20,Ryanair boss says airline won't fly with 'idiotic' social distancing rules,1
1802,22-Apr-20,Boohoo eyes struggling fashion brands after trading beats forecasts,1
1803,22-Apr-20,Trump considers block on crude oil imports to prop up US market,1
1804,22-Apr-20,Business live  Eurozone consumer confidence slumps; oil remains volatile - as it happened,2
1805,22-Apr-20,Cornish copper find raises hopes for once 'richest square mile',5
1806,22-Apr-20,It's time to let the fossil fuel industry die,5
1807,22-Apr-20,'You're not welcome': rap's racial divide in France,1
1808,22-Apr-20,"Wealth tax rise could raise £174bn to tackle Covid-19, expert says",1
1809,22-Apr-20,Coronavirus: airlines seek €12.8bn in bailouts without environmental conditions attached,1
1810,22-Apr-20,World Bank warns of collapse in money sent home by migrant workers,1
1811,22-Apr-20,UK firms plan legal action against Hiscox over Covid-19 insurance claims,1
1812,22-Apr-20,Top economist: US coronavirus response is like 'third world' country,5
1813,22-Apr-20,Disney heir criticises $1.5bn in bonuses and dividends as company cuts pay,1
1814,22-Apr-20,‘I’m not essential’: Boeing employees return to work despite pandemic,1
1815,22-Apr-20,Legal & General warns firms to act fairly during coronavirus crisis,4
1816,22-Apr-20,UK inflation falls to 1.5% as stay-away shoppers shun spring clothing,1
1817,22-Apr-20,"Your problems, with Anna Tims  Pay £2,000 for a room you can't use - or break the law?",1
1818,22-Apr-20,Corner shops describe life under lockdown as they stay open for their community,4
1819,22-Apr-20,Fears of prolonged coronavirus downturn and second wave of US cases,1
1820,22-Apr-20,"All big UK airlines and travel firms denying refunds, Which? finds",1
1821,22-Apr-20,UK ad watchdog bans claims that IV drips can treat coronavirus,1
1822,22-Apr-20,"Seven out of 10 UK firms have furloughed staff, survey reveals",1
1823,22-Apr-20,Coca-Cola and Pepsi falling short on pledges over plastic – report,1
1824,22-Apr-20,Netflix doubles expected tally of new subscribers amid Covid-19 lockdown,1
1825,22-Apr-20,Boots and Matalan among firms targeted over unpaid rents,1
1826,22-Apr-20,UK petrol prices to stay steady despite global oil price slump,3
1827,22-Apr-20,"We made right choice in ventilator race, says UK consortium head",5
1828,22-Apr-20,China doles out vouchers to encourage shoppers to spend again,1
1829,22-Apr-20,Trump pledges lifeline to US oil industry as prices fall below zero,1
1830,22-Apr-20,John Lewis and Primark furlough tens of thousands of staff,5
1831,22-Apr-20,Business live  Brent crude plunges to 18-year low as oil slump rattles markets - as it happened,1
1832,22-Apr-20,"Physical distancing will end era of cheap air travel, industry warns",1
1833,22-Apr-20,Richard Branson's bailout plea proves there's no one more shameless,5
1834,22-Apr-20,UK minister urges betting firms to do more for problem gamblers,3
1835,22-Apr-20,Amazon given €294m in tax credits as European revenues jump to €32bn,1
1836,22-Apr-20,UK furlough scheme could just delay massive unemployment rise,1
1837,22-Apr-20,So much for entitled millennials – it’s billionaires such as Richard Branson who are begging for loans,5
1838,22-Apr-20,Admiral to give £25 car insurance refunds over coronavirus lockdown,1
1839,22-Apr-20,'I don't want this job to kill me': why have 68 New York transit workers died during the pandemic?,1
1840,21-Apr-20,"Project Syndicate economists  


  EU should use perpetual bonds to finance Covid-19 recovery fund",1
1841,21-Apr-20,Virgin Australia: what does voluntary administration mean and how will it affect you?,1
1842,21-Apr-20,Virgin Australia plans bare bones flight service as administrators look for buyers,1
1843,21-Apr-20,Over a barrel: how oil prices dropped below zero,5
1844,21-Apr-20,Deepwater Horizon  'Of course it could happen again': experts say little has changed since Deepwater Horizon,3
1845,21-Apr-20,Oil slips into the twilight zone as demand for crude has plummeted,2
1846,21-Apr-20,Germany takes tentative steps back to normality as lockdown eases,2
1847,21-Apr-20,MPs investigate commercial property purchases by councils,1
1848,21-Apr-20,Oil prices dip below zero as producers forced to pay to dispose of excess,1
1849,21-Apr-20,UK sales of baking goods and alcohol rise while makeup and plants fall,2
1850,21-Apr-20,"Thousands of UK pubs will go under without bailout, industry warns",1
1851,21-Apr-20,Branson to mortgage Caribbean island as he seeks Virgin bailout,4
1852,21-Apr-20,"140,000 UK companies apply for coronavirus job furlough scheme",1
1853,21-Apr-20,Kingfisher Airlines tycoon loses appeal against extradition to India,1
1854,21-Apr-20,"'Just not true' we're too lazy for farm work, say frustrated UK applicants",2
1855,21-Apr-20,Business live  Britons' finances weakest since 2011; Covid-19 knocks oil near $10 a barrel – as it happened,1
1856,21-Apr-20,Rishi Sunak's furlough support scheme fails to reassure Britons,2
1857,21-Apr-20,Rishi Sunak offers fast-growing UK companies £1.25bn in loans,5
1858,21-Apr-20,Covering Climate Now  Green energy could drive Covid-19 recovery with $100tn boost,5
1859,21-Apr-20,'UK youth employment prospects crumbling' in coronavirus crisis,1
1860,20-Apr-20,Premier Foods sales surge amid demand for store cupboard staples,5
1861,20-Apr-20,Consumer champions  Can I challenge a fine after I bought the wrong rail ticket?,5
1862,20-Apr-20,UK's regional light rail services at risk from coronavirus outbreak,1
1863,20-Apr-20,British households face disposable income fall of £515 per month,1
1864,20-Apr-20,Workers without degrees hardest hit by Covid-19 crisis - study,1
1865,20-Apr-20,"Coronavirus outbreak will halt 520,000 UK house sales in 2020",1
1866,20-Apr-20,John Lewis and Mother of Pearl mark Earth Day with joint fashion line,5
1867,20-Apr-20,Small businesses aren't ready to reopen. But let's build a plan for when we are,3
1868,20-Apr-20,MansionBet allowed VIP gambler to use redundancy payout to keep betting,4
1869,20-Apr-20,Supertankers drafted in to store glut of crude oil,5
1870,20-Apr-20,"Economics viewpoint  


  The IMF needed a progressive vision and US leadership. Both were absent",2
1871,20-Apr-20,Will Britain's restaurants survive coronavirus?,1
1872,20-Apr-20,Supermarket staff: how has coronavirus affected your work?,1
1873,20-Apr-20,Hotels say offer of refuge for domestic abuse victims has been snubbed,1
1874,20-Apr-20,Crawley wakes up to the empty skies of the coronavirus crash,3
1875,20-Apr-20,From travel to shopping to who pays for home working … what you are asking around lockdown,5
1876,20-Apr-20,Nearly seven million jobs at risk if lockdown lasts for months,1
1877,20-Apr-20,Pressure intensifies for 100% government-backed business loans,5
1878,20-Apr-20,‘I’ve already got infected lungs’: for sick coal miners Covid-19 is a death sentence,1
1879,20-Apr-20,"William Keegan's in my view  


  The time is ripe for a coronavirus coalition government",1
1880,19-Apr-20,"Business leader  


  Just when Italy really needed some unity, the EU failed it – and continues to do so",4
1881,19-Apr-20,"CEOs, not the unemployed, are America's real 'moral hazard'",1
1882,19-Apr-20,"Observer business agenda  $10,000 a second? Amazon’s results could be amazing",1
1883,19-Apr-20,"Beware a new wave of populism, born out of coronavirus-induced economic inequity",1
1884,19-Apr-20,‘Our income has fallen off a cliff’: how lockdown hits firms large and small,5
1885,19-Apr-20,Arcadia Group may permanently shut down stores amid Covid-19 crisis,1
1886,19-Apr-20,Africans facing coronavirus must not suffer the injustices they saw with Aids,1
1887,19-Apr-20,'We're heartbroken': new starters trapped by furlough loophole,1
1888,19-Apr-20,Meat and veg vending machines do roaring trade in coronavirus crisis,1
1889,19-Apr-20,From boardroom to spare room: the working from home revolution,5
1890,19-Apr-20,Are the Tories turning Britain into a one-party state?,1
1891,19-Apr-20,Queensland offers Virgin Australia $200m if it keeps headquarters in Brisbane,1
1892,19-Apr-20,After the lockdown: how a degree of normality could return to UK working life,1
1893,19-Apr-20,EY ordered to pay whistleblower $11m in Dubai gold audit case,1
1894,19-Apr-20,Vauxhall plans physically distanced car production in UK,2
1895,19-Apr-20,UK government extends furlough scheme until end of June,1
1896,19-Apr-20,Suppliers ration stocks of tinned tomatoes after surge in demand,5
1897,19-Apr-20,Travel firms angry over Grant Shapps' 'no summer holiday' comment,1
1898,19-Apr-20,Roche to commence rollout of coronavirus antibody test in UK,5
1899,19-Apr-20,US shale industry expected to shrink sharply as oil price falls,2
1900,17-Apr-20,At least seven Debenhams stores to close with loss of 400 jobs,1
1901,17-Apr-20,Bank of England tells lenders to ‘get on with’ Covid-19 business loans,1
1902,17-Apr-20,Business live  Stocks jump as US drugmaker Gilead raises hopes of Covid-19 treatment - as it happened,1
1903,17-Apr-20,No reopening in sight for US cinemas after federal guidelines issued,1
1904,17-Apr-20,Inquiry launched into how partially sighted man stepped into train's path,1
1905,17-Apr-20,Deliveroo warning of collapse paves way for Amazon investment,1
1906,17-Apr-20,China's economy shrinks as coronavirus hits world trade,1
1907,17-Apr-20,Coronavirus has destroyed the myth of the deficit,1
1908,17-Apr-20,FTSE 100 boosted amid optimism over potential coronavirus drug,5
1909,17-Apr-20,Coronavirus has made Amazon a public utility – so we should treat it like one,5
1910,17-Apr-20,Call for windfall tax on tech firms to help UK newspapers survive,1
1911,17-Apr-20,'Huge environmental waste' as US airlines fly near-empty planes,1
1912,17-Apr-20,South Korean businessman convicted of rape gets suspended sentence,1
1913,17-Apr-20,Car finance firms urged to halt repossessions during Covid-19 crisis,1
1914,17-Apr-20,Government throws England's fishermen a £10m lifeline,1
1915,17-Apr-20,Donor countries urged to step up spending as national goals go unmet,1
1916,17-Apr-20,£400bn paid in dividends by UK companies before coronavirus crisis,1
1917,17-Apr-20,Government extends loan guarantee scheme to cover bigger firms,3
1918,17-Apr-20,Devise lockdown exit plan or risk damaging economy – thinktank,1
1919,17-Apr-20,Bank of England 'failing climate' with Covid-19 stimulus programme,1
1920,16-Apr-20,Government 'ignores' UK textiles firms desperate to make PPE,1
1921,16-Apr-20,"Nils Pratley on finance  


  EasyJet faces anything from a boom to profitless frustration",1
1922,16-Apr-20,Netflix now worth more than ExxonMobil as value reaches $196bn,1
1923,16-Apr-20,Low demand for power causes problems for National Grid,2
1924,16-Apr-20,Farmers’ union ‘optimistic’ UK workers will rescue the harvest,5
1925,16-Apr-20,Vauxhall planning to restart car production amid coronavirus crisis,2
1926,16-Apr-20,Business live  Five million more Americans file jobless claims as Covid-19 downturn deepens - as it happened,1
1927,16-Apr-20,Barclays CEO avoids vote against re-election over Epstein ties,1
1928,16-Apr-20,Don't click on the traffic lights: upstart competitor challenges Google's anti-bot tool,1
1929,16-Apr-20,EasyJet weighs up empty middle seats once coronavirus rules ease,1
1930,16-Apr-20,Small planes and no business class: will flying ever be the same again?,1
1931,16-Apr-20,Amazon closes French warehouses after court ruling on coronavirus,1
1932,16-Apr-20,'Hit by a hurricane': 22m out of work in US as coronavirus takes heavy economic toll,1
1933,16-Apr-20,Price of high-demand food bought online in UK rises sharply,2
1934,16-Apr-20,Shell unveils plans to become net-zero carbon company by 2050,1
1935,16-Apr-20,Online lenders are stepping up to fill the gap left by banks during the pandemic,4
1936,16-Apr-20,"Burger King, KFC and Pret announce limited UK reopenings",1
1937,16-Apr-20,Court bans Dunk Island redeveloper from advertising two investment products,1
1938,16-Apr-20,UK school and hospital caterers vow to cut meat served by 20%,1
1939,16-Apr-20,"Project Syndicate economists  


  Advanced economies must combat Covid-19 threat to developing world",5
1940,15-Apr-20,Crawley likely to be worst affected by UK coronavirus job losses,1
1941,15-Apr-20,Oasis and Warehouse fall into administration with loss of 200 jobs,1
1942,15-Apr-20,"Amazon reaps $11,000-a-second coronavirus lockdown bonanza",1
1943,15-Apr-20,EU to bar executive bonuses for state-rescued firms,1
1944,15-Apr-20,Coronavirus ventilator wins UK approval in run-up to NHS rollout,4
1945,15-Apr-20,"Spend what you can to fight Covid-19, IMF tells member states",5
1946,15-Apr-20,Oil prices slump as market faces lowest demand in 25 years,1
1947,15-Apr-20,"Nils Pratley on finance  


  Why the UK's coronavirus bailout plan isn't working",1
1948,15-Apr-20,Millionaires to reap 80% of benefit from tax change in US coronavirus stimulus,1
1949,15-Apr-20,Regulator investigates Viagogo's £3.2bn acquisition of StubHub,1
1950,15-Apr-20,Duke of Westminster donates £12.5m to NHS coronavirus fight,1
1951,15-Apr-20,Will coronavirus shock the global economy into long-term thinking?,5
1952,15-Apr-20,Business live  Oasis and Warehouse fall into administration; US economy suffers in lockdown - as it happened,1
1953,15-Apr-20,Education hit hardest as coronavirus batters UK economy,1
1954,15-Apr-20,Amazon sales of 'non-essentials' hit by French court ruling,1
1955,15-Apr-20,Just £1.1bn of Covid-19 bailout loans have been issued to small UK firms,1
1956,15-Apr-20,Human rights in focus  Arcadia Group cancels ‘over £100m’ of orders as garment industry faces ruin,1
1957,15-Apr-20,Guardian to furlough 100 non-editorial staff owing to coronavirus,1
1958,15-Apr-20,Lord Tombs obituary,5
1959,15-Apr-20,Norwegian Air's UK pilots and cabin crew will not receive April salary,1
1960,15-Apr-20,"Most UK firms do not have coronavirus coverage, insurance industry told",1
1961,15-Apr-20,"Construction on HS2 can begin, government says",4
1962,15-Apr-20,Whole Foods staff protest against conditions as coronavirus cases rise,1
1963,15-Apr-20,A whopper? Watchdog bans ads for Burger King 'vegan-suitable' Rebel,1
1964,15-Apr-20,Planned obsolescence: the outrage of our electronic waste mountain,1
1965,15-Apr-20,US government agrees on $25bn bailout for airlines as pandemic halts travel,1
1966,15-Apr-20,"Nils Pratley on finance  


  Not even Wall Street titans know the true cost of the coronavirus crisis",1
1967,15-Apr-20,"UK economy could shrink by 35% with 2m job losses, warns OBR",1
1968,15-Apr-20,Heathrow cargo flights rise 500% as airport restyles itself as ‘vital airbridge’,5
1969,15-Apr-20,"How close is the NHS to getting the 18,000 ventilators it needs?",2
1970,15-Apr-20,Lockdown adds £10bn to deficit of UK’s final-salary pension funds,1
1971,15-Apr-20,Rishi Sunak 'deeply troubled' by OBR warning of 35% fall in UK GDP,1
1972,15-Apr-20,Business live  IMF: Global economy faces worst recession since the Great Depression - as it happened,1
1973,15-Apr-20,Business not as usual: WeWork tries to shrug off coronavirus despite upheaval,2
1974,15-Apr-20,Coronavirus outbreak could cost world's airlines up to $314bn,1
1975,15-Apr-20,JP Morgan sets aside $8.3bn to cover Covid-19 losses,1
1976,15-Apr-20,Commercial creditors 'must sign up to global debt deal' - or forgo Covid-19 help,1
1977,15-Apr-20,Over 100 MPs and peers in call to back creative industries in lockdown,1
1978,15-Apr-20,Oasis and Warehouse close to collapsing into administration,4
1979,15-Apr-20,UK lenders to grant 1.2m mortgage deferments,1
1980,14-Apr-20,IMF has no experience of recession arriving with such ferocity,1
1981,14-Apr-20,"'Great Lockdown' to rival Great Depression with 3% hit to global economy, says IMF",1
1982,14-Apr-20,GSK and Sanofi join forces to work on coronavirus vaccine,4
1983,14-Apr-20,"City Lights devotees give $500,000 to help bookshop survive coronavirus",1
1984,14-Apr-20,Next shuts website for the day only hours after reopening,1
1985,14-Apr-20,Virgin Australia considers going into administration as Labor calls for government rescue,1
1986,14-Apr-20,UK scraps plans to buy thousands of ventilators from Formula One group,1
1987,14-Apr-20,Coronavirus UK: call to scrap 'triple lock' on pensions after crisis,1
1988,14-Apr-20,Reports of the death of the film industry have been greatly exaggerated,2
1989,14-Apr-20,The long read  How coronavirus almost brought down the global financial system,1
1990,14-Apr-20,Tackling climate change is vital for the strongest economic recovery after coronavirus,5
1991,14-Apr-20,Next restarts online sales after protecting staff from Covid-19,1
1992,14-Apr-20,Co-op hopes to raise £30m for people hit by Covid-19 lockdown,1
1993,14-Apr-20,"Which is the best option, lockdown or herd immunity? We're about to find out",3
1994,14-Apr-20,UK triples coronavirus response fund for NHS and public services,5
1995,14-Apr-20,Disney's Bob Iger stays on to steer company during Covid-19 crisis,4
1996,14-Apr-20,'Banks will behave better this time than during financial crisis',4
1997,14-Apr-20,The upside  The superhero firms helping out in the coronavirus crisis,4
1998,14-Apr-20,Historic oil production cuts 'will not halt slump in demand',1
1999,14-Apr-20,US's digital divide 'is going to kill people' as Covid-19 exposes inequalities,1
2000,13-Apr-20,'Unfair advantage': concerns US politicians are using coronavirus briefings to make stock decisions,1
2001,13-Apr-20,"Project Syndicate economists  


  Donald Trump is wrong, the economic hit of the coronavirus will last for years",1
2002,13-Apr-20,Major oil-producing nations agree historic 10% cut in output,4
2003,13-Apr-20,The Guardian view on the climate and coronavirus: global warnings,5
2004,13-Apr-20,Just 1.4% of firms enquiring about UK coronavirus business loans successful,4
2005,13-Apr-20,Richard Branson facing backlash over plea for UK bailout of Virgin,1
2006,13-Apr-20,UK insurers face legal action from small firms over Covid-19 claims,1
2007,13-Apr-20,Robots deliver food in Milton Keynes under coronavirus lockdown,5
2008,13-Apr-20,"Viewpoint column  


  Rishi Sunak's dilemma over how to pay for his coronavirus spending",3
2009,13-Apr-20,BlackRock to advise EU on environmental rules for banks,5
2010,13-Apr-20,Carbon emissions from fossil fuels could fall by 2.5bn tonnes in 2020,2
2011,13-Apr-20,Pressure grows for developing world debt relief over coronavirus,2
2012,13-Apr-20,What can US small businesses do during the pandemic – and why is it so confusing?,2
2013,13-Apr-20,Can cut-price electronics websites ever be the real deal?,1
2014,13-Apr-20,"Lifeboat scheme for small firms is inadequate, warns Ed Miliband",1
2015,13-Apr-20,'We're risking our life': coronavirus takes a toll on essential workers still on the job,5
2016,13-Apr-20,"Business leader  


  Going cap in hand to the Bank is going to become a way of life at the Treasury",5
2017,13-Apr-20,Coronavirus live  'I owe them my life' – Boris Johnson pays tribute to NHS staff – as it happened,5
2018,13-Apr-20,Observer business agenda  Locked doors and virtual votes at virus-hit AGMs,1
2019,13-Apr-20,Coronavirus crisis demands that the G20 give debt relief to sub-Saharan Africa,1
2020,11-Apr-20,The big shutdown: tracking Britain’s Covid-19 slump in real time,1
2021,11-Apr-20,Struggling retail landlords watch rents dry up in the pandemic,1
2022,11-Apr-20,Cruise firms face 'off-the-scale' challenge in wake of coronavirus,4
2023,11-Apr-20,Call for super-rich to donate more to tackle coronavirus pandemic,5
2024,11-Apr-20,"Crisis in Chablis: wine hit by frost, drought and now coronavirus",1
2025,11-Apr-20,Milk floats ride to the rescue of locked-down British households,5
2026,11-Apr-20,This is Europe  The EU's new coronavirus relief deal is a gift to Europe's enemies,5
2027,11-Apr-20,Oil prices fall again despite Opec+ deal to cut production,1
2028,11-Apr-20,Surges of love for the NHS and anger over Tory policies,5
2029,11-Apr-20,Airbus shelves plans for new A321 plant as coronavirus crisis hits,4
2030,11-Apr-20,EU members clash over pandemic economic rescue package,1
2031,11-Apr-20,NHS 111 staff 'turning up to work with coronavirus symptoms',4
2032,11-Apr-20,Seascape: the state of our oceans  Scottish fishermen turn to food banks as Covid-19 devastates industry,1
2033,11-Apr-20,EU strikes €500bn relief deal for countries hit hardest by pandemic,1
2034,11-Apr-20,"Nils Pratley on finance  


  The Treasury is asking for a big overdraft. Fine, as long as it's short-term",3
2035,11-Apr-20,Coronavirus: 100 days that changed the world  The inequality virus: how the pandemic hit America's poorest,5
