date,articles
2017-10-04,"['Tesla Has Delivered More Than 250,000 EVs, ~55% In The U.S. - InsideEVs', 'Tesla: Massive Success With Model 3 vs Making Niche Cars - Torque News', ""Porsche's Tesla rival spotted in the wild for the first time - The Verge"", ""Vladimir Putin Likes Elon Musk's Tesla, Electric Cars—But Would ... - Newsweek"", 'Gutted Tesla Model S ""Racecar"" Sets 10.41s 1/4-Mile Record ... - autoevolution', '2020 Porsche Mission E Spy Photos | News - Car and Driver', 'Oracle to use the new NVIDIA Tesla GPU - App Developer Magazine', ""Tesla's Advantages and Disadvantages After Every Carmaker Goes Electric - Torque News"", 'Electrek faces criticism for giving readers Tesla discount codes - Automotive News', ""Google's store comes to Mexico, Brazil and others - GSMArena.com"", 'Amazon Echo series launched in India, available by invitation - GSMArena.com', 'Samsung Galaxy A (2018) renders show off the Infinity Display - GSMArena.com', ""How Honda Modified the Civic Type R's Engine for the New Accord - Road & Track""]"
2017-10-05,"[""Elon Musk: Solar energy is the key to fixing Puerto Rico's power grid - ABC News"", 'Tesla still on top in US electric vehicle sales, GM close behind - Ars Technica', 'Tesla Model 3 vs Model S vs Model X: Front and Back Seat Edition - autoevolution', 'After the Referrals Scandal Goes International, Fred Lambert ... - TheTruthAboutCars', 'Why billionaire hedge-fund manager David Einhorn likes GM stock better than Tesla - The Dallas Morning News', ""Putin says he would drive a Tesla, but natural gas vehicle is more 'eco-friendly' - Moneycontrol"", 'Could a hacker hijack your connected car? - BBC', 'Report: Waymo to Announce True Robocar Service - IEEE Spectrum', ""For Electric Car Owners, 'Range Anxiety' Gives Way to 'Charging ... - The New York Times"", ""6 things you might not know about 'Origin' and 'Da Vinci Code' author Dan Brown - The Dallas Morning News"", 'A Unanimous Vote Just Approved Legislation to Allow Self-Driving ... - Futurism']"
2017-10-06,"[""A GM exec says Tesla self-driving promises are 'full of crap': Report - Business Insider"", ""Elon Musk's Puerto Rico tweets spark hope of Tesla powering the ... - Florida Today"", 'Tesla wants to build new charging stations with food and coffee - Style', 'Tesla expands in Fremont with new office buildings for more than ... - Electrek', 'Electric car takeoff just waiting for inevitable price war: Don Pittis - CBC News', 'Tesla is working on a new type of larger movable panel roof, applies ... - Electrek', 'Yandex.Checkout to provide online payments for Tesla Model 3 in Russia - PaymentsJournal', 'Autoweek in review: Everything you missed Oct. 1-6 2017 - Autoweek', 'First electric car supercharger in WA sparks into life near Bunbury - WAtoday', '2019 Toyota 86 previewed in Tokyo show concept - Drive - Drive', 'Apple looking into iPhone 8 and 8 Plus swelling batteries reports - GSMArena.com', 'Brace Yourselves, the Boreas Is Coming - autoevolution']"
2017-10-07,"['Why Tesla is struggling to make Model 3 - Business Insider', ""No more power outages? Inuvik man installs Tesla's 1st 'Powerwall' in the North - CBC.ca"", 'Mutual Fund Manager Ron Baron Discusses Tesla, SpaceX, & GM’s Curious Move - CleanTechnica', 'Surprise! Car Infotainment Systems Are a Distraction for Drivers - Treehugger', ""Range Rover's plug-in hybrid, Ford thinks green, Mitsubishi ... - Green Car Reports"", ""Google Pixel 2 photo and video samples - there's a puppy and ... - GSMArena.com"", 'Here comes Android 7.0 Nougat for the Galaxy Tab E on Verizon ... - GSMArena.com', 'Delta and Tesla may collaborate on charging stations 台達電可望與 ... - 台北時報', 'Homes of the rich and famous tech executives in Atherton - Business Insider']"
2017-10-08,"['Tesla’s Internal Communication Protocol Enables It To Compete With Big Auto - CleanTechnica', 'Tesla Model S Spanks New E63 Wagon in Drag Race, M760Li Is ... - autoevolution', 'Uber to add Tesla X models to its Dubai fleet - Arabian Business', ""Elon Musk: Google's AI camera doesn't even pretend to be innocent - CNET"", 'Microsoft finally admits Windows Phone is dead - The Verge']"
2017-10-09,"[""Tesla Has an Incredible Plan to Rebuild Puerto Rico's Power Grid - Architectural Digest"", 'Elon Musk Takes to Instagram With Response to Tesla Model 3 ... - Inc.', ""Elon Musk Provides Video Visibility into Tesla's Supply Chain ... - Supply and Demand Chain Executive"", 'Take A Seat, Tesla; The Real Revolution In EVs For The Masses Is On The Bus - Forbes', 'Interviews - Better than Tesla: An interview with Eric Lundgren - the ... - Renewable Energy Magazine', 'With Super Cruise, Cadillac pulls ahead on driverless - Detroit News', ""Fiat Chrysler CEO Marchionne on Tesla's Musk: What He's Selling ... - TheStreet"", 'Audi e-tron Quattro and Sportback: New Tech Details on the Tesla ... - Car and Driver', ""Things Vladimir Putin Wouldn't Mind Doing Include Driving a Tesla - autoevolution"", 'Mercedes-Benz talks electric vehicle lineup at EVS 30 - refuses to ... - Electrek', 'Etisalat to link broadband connectivity in Tesla | Business – Gulf News - Gulf News', 'LeBron James stars in Intel ad for self-driving cars - Business Insider', 'This Elon Musk Meme Made Us LOL - AutoGuide', '5 Well-Known Companies Working on Crazy Side Projects - The Motley Fool', 'New Amazon Drones Will Charge Your Car While You Drive - Greentech Media News', 'As OnePlus 5 stock runs low, the likelihood of 5T increases - GSMArena.com', 'Sony Xperia Z5 family gets a firmware update - GSMArena.com', 'Microsoft confirms Windows Phone is dead - GSMArena.com', 'Tesla Semi truck rendered based on leaked image - DriveMag', 'Polestar teasing its concept car with Instagram puzzle pieces - Autoblog', 'Fatal Traffic Accidents Increased Last Year But Not Due To ... - CarBuzz', '【有片睇】日本Casio Mofrel 2.5D 印刷機 打印出仿皮與針織品布材質感 - Unwire.hk']"
2017-10-10,"['How Tesla Powerpack batteries power small islands - Business Insider', ""Musk counters Model 3 'handbuilt' claims with a production line video - Autoweek"", 'Tesla Semi working test mule potentially captured on video for first ... - Electrek', ""Production Hell Seems To Be Tesla's Default State (TSLA) - Wall Street Pit"", ""Elon Musk Suggests A Solution For Puerto Rico's Power Grid: Tesla ... - Texas Standard"", ""Tesla for 2018: What's New | Feature - Car and Driver"", 'Uber riders in Dubai can now select electric-powered Tesla - CNBC', ""How Tesla and Vivint are taking different paths to the 'one stop shop ... - Energy-Storage.news"", 'Change at hand for Dunedin Tesla driver - Otago Daily Times', ""Over 35000 Tesla owners bought 'fully self-driving' feature despite ... - Electrek"", 'New Tesla Semi Truck Rendered Into Reality - CarScoops', 'Tesla is asked by DMV to stop giving test drives out of Charlotte gallery - Electrek', ""McLaren for 2018: What's New | Feature - Car and Driver"", ""Cadillac for 2018: What's New | Feature - Car and Driver"", ""Genesis for 2018: What's New | Feature - Car and Driver"", ""Lotus and Maserati for 2017: What's New | Feature - Car and Driver"", ""Mitsubishi for 2018: What's New | Feature - Car and Driver"", ""Nissan for 2018: What's New | Feature - Car and Driver"", ""Kia for 2018: What's New | Feature - Car and Driver"", ""Volvo for 2018: What's New | Feature - Car and Driver"", ""Subaru for 2018: What's New | Feature - Car and Driver"", ""Microsoft starts pushing out Cortana's integration with Skype - GSMArena.com"", 'China Debt-for-Equity Swaps Turn Out More Like Debt-for-Debt - Bloomberg', ""Hyundai for 2018: What's New | Feature - Car and Driver"", ""Alfa Romeo and Aston Martin for 2018: What's New | Feature - Car and Driver"", ""Porsche for 2018: What's New | Feature - Car and Driver"", 'Ferrari SUV: brand is ""dead serious"" about model, says boss - Autocar Professional', 'Supercar Overhang Art Is As Crazy As It Gets - autoevolution']"
2017-10-11,"['First used Tesla Model 3 is listed for sale at $150000 - Electrek', 'Op-Ed: Charging A Bolt EV At A Tesla Destination Station? Sure You Can! - InsideEVs', 'More Than 35000 People Reportedly Have Paid Tesla $3000 for ... - Inc.', ""Stunning chart reveals how badly Trump has bungled Puerto Rico's ... - ThinkProgress"", 'This Buffett-backed Chinese stock is up 55% in a month - CNN.com', ""Tesla cannot be Africa's saviour | The New Times - New Times Publication"", 'Georgina Chapman leaves husband Harvey Weinstein with a strong ... - Mashable', 'Apple releases iOS 11.0.3 update for iPhone and iPad - GSMArena.com', ""This Is What Tesla's Electric Semi-Truck Will Probably Look Like - CarBuzz"", 'Murdered-out minivan: 2018 Chrysler Pacifica gets new S package - Autoblog']"
2017-10-12,"['Tesla recalling 11000 Model X SUVs for seat issue - The Seattle Times', ""Norway's electric car owners face 'Tesla tax' - Financial Times"", 'Billionaire Tesla CEO Elon Musk reveals he owns two gas cars and one is his ‘first love’ - CNBC', 'FDA clears first 7T magnetic resonance imaging device - FDA.gov', 'Tesla is releasing new Model 3 software update to calibrate ... - Electrek', 'VW plans large $1.7 billion investment to bring electric trucks and ... - Electrek', 'Subaru, Tesla and Infinity Safety Features Rank Highest With Owners - Torque News', '""Van Y Vienen"" Brings Electric Vehicle Ride Sharing To Two Rural ... - Valley Public Radio', 'Alleged Razer phone appears on GFXBench leaking its specs - GSMArena.com', 'BlackBerry Keyone Black Edition arrives in Singapore - GSMArena.com', 'Oppo F5 launch markets officially confirmed - GSMArena.com', 'Oppo announces the F3 Lite - GSMArena.com']"
2017-10-13,"['Norway is planning to pull the plug on its wildly successful electric ... - Quartz', 'Tesla Model X faces recall for possible rear seat problem - Autoweek', 'Tesla employees fired just as the Model 3 ramp-up gets underway - Business Insider', 'Ohio National Guard works with Serbian partners during Cyber ... - United States Army', ""We Have To Talk About The Tesla Model 3's Windshield Wipers A ... - Jalopnik"", 'Tesla beats Ferrari, Mercedes and BMW in brand experience for 2nd year in a row - TESLARATI', ""How To Minimize Tesla's Cobalt Supply Chain Risk (NASDAQ:TSLA) - Seeking Alpha"", 'Tesla Partners With Liberty Mutual for Customized Insurance Plan - Bloomberg', ""GM Exec Calls out Elon Musk, Says He's 'Full of Crap,' Report Says - The Drive"", 'Huawei teases Mate 10 Porsche Design - GSMArena.com', 'The EV Trend Is Now Irreversible | designnews.com - Design News', 'Nokia 8 with 6GB RAM arrives in Finland - GSMArena.com', ""VIDEO: BMW M140i is world's most sideways hatchback - BMWBLOG"", 'Electric Cars You Can Buy in India by 2020 - The Quint', 'Bryan Roberts of Venrock on Seeing Problems as Opportunities ... - The New York Times']"
2017-10-14,"[""Tesla fires hundreds of employees after 'performance reviews' - Electrek"", 'Elon Musk Is Only Somewhat Right That Tesla’s Solar & Storage Can Scale To Rebuild Puerto Rico’s Grid - CleanTechnica', 'As GM creates Global Electric Vehicle Program role, we have some ... - Electrek', 'An 8 Hour Road Trip In A Nissan e-NV200 Electric Van - CleanTechnica', 'Razer phone spotted in the wild - GSMArena.com', 'Samsung Galaxy Tab Active 2 to feature Bixby and removable battery - GSMArena.com', 'First Oreo Open Beta OxygenOS ROM now available for OnePlus 3 ... - GSMArena.com', 'Counterclockwise: the rise and fall of smartphone brands - GSMArena.com', 'Moto G5S now available in Blue - GSMArena.com', 'American Sports Car Maker Panoz Now Has Two Electric SUVs - CarBuzz']"
2017-10-15,"['Tesla Motors fires hundreds of workers after performance reviews - The Guardian', 'Tesla fires hundreds as Model 3 electric car production drags - USA TODAY', 'Confirmed: Tesla Fires Number of Employees as Part of ... - The Drive', ""Here's Everything Elon Musk Unveiled About Tesla & SpaceX in His ... - Futurism"", 'Does Chevy Bolt have the ideal range for an electric vehicle? - Detroit Free Press', 'KT chairman meets Elon Musk - The Investor']"
2017-10-16,"['Silicon Valley fails to understand Tesla Model 3 production problems - Business Insider', 'Tesla Model 3 production held up by welding woes? - Autoweek', 'Epithets, racist drawings at Tesla factory, ex-workers say - The Mercury News', 'Tesla unveils a brand new dual-charging port for Chinese vehicles - Mashable', 'Tesla rumored to have shipped Powerpacks to Puerto Rico for aid - Mashable', ""Self-driving systems need lots of power. So do EV motors. That's a ... - Autoweek"", 'Toyota unveils new electric vehicle concepts that will never go to ... - Electrek', ""GM exec calls Elon Musk 'full of crap' on autonomy claims - Autoblog"", ""Google Photos' facial recognition feature now works for pets as well - GSMArena.com"", 'Doctor gets probation, community service for Laguna Canyon Road crash that killed 2 men - OCRegister', 'Cummins acquires electric drivetrain startup Brammo to help bring ... - Electrek', ""Here's How Driverless Vehicles Will Utterly Transform How Our ... - Futurism""]"
2017-10-17,"['Analyst says ‘nobody can compete’ with Tesla in China - CNBC', 'Tesla firings: former and current employees allege layoffs - CNBC', 'Why Tesla Fired Hundreds of Workers Rather Than Laying Them Off - Inc.', ""Bay Area Tesla plant hit with charges of racist supervisors using the N-word and sharing 'pickaninny' pictures - Raw Story"", 'Volvo’s New Polestar Is a Shot Across the Bows of Tesla and BMW - Fortune', 'This Is One of The Largest Superchargers On The East Coast Opening Soon - Torque News', 'Tesla Model 3 Available for Rent in Florida and The Price is High - Torque News', 'After Tesla firings: What to do if you get a bad performance review - Business Insider', 'Uber Users in Dubai Can Now Choose to Ride in a Tesla - Futurism', 'Amazon Patents a Way to Send Refueling Drones to Juice Up Your ... - Popular Mechanics', 'Intel proposes a mathematical formula for self-driving car safety - Engadget', 'Samsung Galaxy S8/S8+ receive price cut in India - GSMArena.com', 'Google Calendar gets Material redesign on the web - GSMArena.com', 'Qualcomm introduces the Snapdragon 636 with Quick Charge 4 - GSMArena.com', 'Foldable ZTE Axon M is official with dual touchscreens - GSMArena.com', 'Microsoft launches Surface Book 2 - GSMArena.com', '5 Cars To Scare Your Passenger With On Halloween - CarBuzz']"
2017-10-18,"['Tesla Model X road trip review - Business Insider', 'Tesla Model S fire vs 35 firefighters - watch impressive operation ... - Electrek', ""SolarCity: Tesla's Solar Boondoggle - The Motley Fool"", 'Tesla agrees to raise pay at German division - Automotive News Europe', ""Volvo's Polestar could become a credible BMW, Tesla rival - Automotive News"", ""Tesla's former VP of Production talks 'secret second factory floor' and ... - Electrek"", 'Tesla opens gallery showroom in Southlake - Community Impact', 'Electric Vehicles Are All the Buzz in Vermont - Seven Days', 'Man crashes rented Tesla into concrete wall causing £50,000 of damage - Metro.co.uk', 'Bixby 2.0 to offer support for smart home, be open to third-party ... - GSMArena.com', 'New Samsung Galaxy J2 variant spotted in benchmark listings - GSMArena.com', '七上八下是什麼？ - 中時新聞網 Chinatimes.com']"
2017-10-19,"['Tesla workers claim anti-LGBT threats, taunts, and racial abuse in lawsuits - The Guardian', ""Tesla's newest target: Consumer Reports - CNBC"", ""Consumer Reports raises Tesla Model S reliability rating to 'above ... - Electrek"", 'Tesla improves in Consumer Reports survey -- but what about ... - USA TODAY', ""Tesla wins contract to supply Powerpacks at world's first solar+wind ... - Electrek"", 'Tesla is launching new all-electric service vehicles based on Model ... - Electrek', ""Why Would Tesla Lay Off Hundreds Of Workers When It's Ramping ... - Fast Company"", 'Tesla is more than a car company, it’s an agent of change [Video] - TESLARATI', ""SolarCity Adds To Tesla's Losses (NASDAQ:TSLA) - Seeking Alpha""]"
2017-10-20,"['Tesla\'s Model S Receives ""Above Average"" Reliability Rating - Yahoo Finance', 'Beware! Consumer Reports says this Tesla and 9 other cars are ... - USA TODAY', 'Polestar could give Tesla and BMW i a challenge in China - Autoweek', ""Watch Tesla Model 3's new Autopark feature at work - Electrek"", 'Tesla-charging and dog spas New York luxury real estate ... - CNBC', 'Mike McGuire aims to make Grant Thornton the Tesla of accounting - Accounting Today', 'Aviva opens Markham location with Tesla test drives for employees - yorkregion.com', 'Home battery makers get a boost after Hurricane Maria - CNBC']"
2017-10-21,"['Tesla is unlocking extra power in older Model S and X 75D vehicles ... - Electrek', 'Tesla’s Urban Supercharger can be wall-mounted and installed virtually anywhere - TESLARATI', 'Wireless Charging for Tesla Model S Pros and Cons - Torque News', 'Tesla will have a few hundred all electric service vans ... - Next Big Future', 'This Is How You Extinguish A Burning Tesla Model S - CarScoops']"
2017-10-22,"['Tesla to set up China plant without local partners - Nikkei Asia', 'Tesla reaches deal to set up a factory in China - MarketWatch', ""Consumer Reports Defends Tesla Model 3 'Average' Reliability Prediction - Forbes"", 'Tesla Has Strong Advantages In Race To Self-Driving Cars - CleanTechnica', 'Tesla Model 3 Autopilot in stop-and-go traffic with easter egg ‘on’ - TESLARATI']"
2017-10-23,"[""Musk moves: Tesla deal to make cars in Shanghai, China's new EV ... - CNBC"", 'Tesla opens new largest Supercharger station in the world - Electrek', 'Tesla opens massive Supercharger station in Shanghai - Inhabitat', 'Elon Musk: Your future Tesla will drive you where you want to go without you even having to tell it - CNBC', 'Tesla And EV Market Share Update (NASDAQ:TSLA) - Seeking Alpha', ""Tesla's stock price is 'too exuberant for me,' Saudi Prince Alwaleed says - CNBC"", 'Tesla Superchargers Installed Near Bellefonte | State College, PA - Statecollege.com', 'Who’s Hiring? (Amazon, McDonald’s, Lyft) Who’s Firing? (Cisco, Tesla, HPE) - IEEE Spectrum', 'Toshiba on the Cusp of an EV Battery Capable of 200 Miles of ... - Car and Driver', 'Tesla: 2 Self-Driving Cars Walk Into A Bar... (NASDAQ:TSLA) - Seeking Alpha', 'Tesla delivers first Model 3 in New York - first look at design with ... - Electrek', 'RTA highlights green economy achievements in WETEX 2017 starred by Tesla - Khaleej Times', 'It took an army of firefighters to extinguish this burning Tesla Model ... - DriveMag']"
2017-10-24,"[""Tesla's Autopilot is supposed to deliver full self-driving, so why does ... - The Verge"", 'David Einhorn: Value investing may be dead and Amazon and Tesla killed it - CNBC', ""Volkswagen's CEO Just Went Off on Tesla--and Taught a Major ... - Inc."", 'Tesla to expand in Los Angeles with new offices, says report - Electrek', 'Tesla Updates Software in Older Vehicles to Shave a Full Second ... - The Drive', 'Former Tesla employees and union activists stage a protest over ... - Electrek', 'Tesla leads automakers for active safety features, says Edmunds - Electrek', ""Please stop asking J. Edgar Hoover about Nikola Tesla's death ray - MuckRock"", 'Tesla facing hurdles in China - CNN', 'Tesla Energy: From sun to home to wheels - TESLARATI', 'First white-box testing model finds thousands of errors in self-driving ... - EurekAlert', ""Tesla's Solar Roof tiles are out... and OMG - Mashable"", ""The FBI's Nikola Tesla files - Boing Boing""]"
2017-10-25,"[""Tesla's seat strategy goes against the grain...for now - Reuters"", 'Tesla firings spread across SolarCity, employees blindsided - CNBC', ""Tesla's Autopilot is under attack by Apple co-founder Steve Wozniak ... - Electrek"", 'Tesla-powered electric bus project spotted charging at a ... - Electrek', ""This Former Tesla Recruiter's Most Revealing Interview Question - Fast Company"", 'Tesla employees really like their coffee, Baristas apply within - TESLARATI', 'Tesla/SolarCity plans $340 million securitization of distributed solar - pv magazine International', 'AWS Announces Availability of P3 Instances for Amazon EC2 - Business Wire']"
2017-10-26,"['Tesla integrates seat manufacturing and attempts to automate it for ... - Electrek', ""Apple co-founder Steve Wozniak criticizes Tesla's autopilot system - Mashable"", 'Elon Musk’s in-house production strategy hits Tesla’s manufacturing goals - The Indian Express', 'Auto Union Files Complaint Against Tesla - Capital and Main', 'UAW complaint alleges Tesla fired employees for backing union - SFGATE', ""Tesla could be underselling Model 3's range and charging capacity ... - Electrek"", ""Can You Break This Charming Bus' Heart and Tell It It's Not a Tesla? - autoevolution"", ""Man's Model S Was Hit By A Drunk Driver, What To Do Not To Be Ripped Off By Insurers - Torque News"", 'An Electric Semi Definitely Won’t Work—But Seven in a Row Might - MIT Technology Review', 'Dirty Martini Tesla Model S Wrap Is the Half Empty Glass - autoevolution', 'New Nissan IMx concept boasts huge range and will look to take on the Tesla Model X - Express', 'Citroen C4 hatchback axed to make way for latest C4 Cactus - Autocar Professional']"
2017-10-27,"[""Tesla's Tiered Pricing Is a Hurdle, but a Fair One (Published 2017) - The New York Times"", 'First Tesla Michigan gallery opens at Somerset - Detroit News', ""Tesla opens its first full 'non-store' in Michigan despite ban on direct ... - Electrek"", 'Tesla factory built more cars when it belonged to GM and Toyota - Business Insider', 'Tesla Model 3 review: First in-depth look at car’s interior and exterior in 4K video - TESLARATI', ""Tesla's SolarCity Part Deux: Cash Flow (NASDAQ:TSLA) - Seeking Alpha"", 'Nvidia is cracking down on servers powered by GeForce graphics ... - PCGamesN', 'RTR Shows Off Its Version of the 2018 Ford Mustang - AutoGuide']"
2017-10-28,"[""Volvo's Polestar 1 is the car Tesla should be really worried about - Wired.co.uk"", 'Tesla confirms building new biggest charging station in Europe - 42 ... - Electrek', 'Tesla Motors Slapped With Lawsuit For Firing Hundreds Of Employees - Art of Gears', 'Lambo Aventador Spits Fire In Tesla Model S’ Face During Drag Race - CarScoops']"
2017-10-29,"['One Of The Earliest Tesla Model S Test Drivers Tries Out 2015 Nissan LEAF - CleanTechnica', 'The Future Of Car Retail Marketing In The Age Of Tesla And Amazon - The Drum', 'This Dutch Company Will Turn A Tesla Into A Stunning Shooting Brake - CarBuzz']"
2017-10-30,"['Tesla: A Ludicrous Quarter? (NASDAQ:TSLA) - Seeking Alpha', ""Elon Musk says 'we'll work harder' about Tesla's effort to solve ... - Electrek"", 'Tesla Just Announced the Site of the Largest Supercharger Station ... - Futurism', 'Tesla Model S shooting brake being built by Dutch customizer - Autoblog', 'Tesla Supercharger stays online in power outage thanks to ... - Electrek', 'Leading Stanford climate scientist builds incredible net zero home ... - Inhabitat']"
2017-10-31,"['Tesla Faces Labor Discord as It Ramps Up Model 3 Production - The Wall Street Journal', 'The Canadian Ghost Town That Tesla Is Bringing Back to Life - Bloomberg', 'This is the tunnel Elon Musk is building to solve L.A. traffic woes - USA TODAY', 'Tesla = #1 And #3 In Near-Record Month (Europe Electric Car Sales) - CleanTechnica', 'YouTuber Wins a Free Next-Gen Roadster After Netting Tesla $5 ... - autoevolution', 'Tesla Model 3 makes it all the way to Detroit - but apparently breaks ... - Electrek', 'YouTuber Wins Free Next Tesla Roadster After Referring Over 50 Buyers And $5 Million In Sales - CarScoops']"
2017-11-01,"['Tesla shares drop after posting wider-than-expected loss - CNBC', ""Tesla's Elon Musk Reassures Investors Over Model 3 Delays ... - The New York Times"", 'Tesla stock drops amid reports of bigger losses and production snags - GeekWire', ""Musk Admits Tesla's Automated Drive System May Need More Computing Horsepower - Forbes"", 'Tesla’s coveted brand and supercharged role within the auto industry - TESLARATI', 'Spied: 2019 Ram 1500 adds huge Tesla-like central touchscreen in ... - Autoweek', 'Designing the Tesla building - GreenBiz', 'Tesla Model 3: Are matching color aero wheel covers going to be a ... - Electrek', 'Hyundai Brings Heavily Tuned Elantra, Off-Road Ready Tucson and ... - AutoGuide', 'Can business sell a likeable Japan to China? - East Asia Forum', 'Chevrolet Beefs Up the 2018 Colorado ZR2 Pickup Truck for Off-Roading - Torque News', 'Google/Waymo Stopped Testing Level 3 Self-Driving Tech After Testers Literally Fell Asleep While Using It, Switched To Full Autonomy - CleanTechnica']"
2017-11-02,"['Elon Musk: Up all night, at times depressed, taking the blame for Tesla production delays - CNBC', 'Tesla’s China factory will likely focus on Model 3 and Model Y production - TESLARATI', 'Tesla troubles: 5 important takeaways from earnings report - USA TODAY', 'Why Would Any Supplier Want To Work With Tesla? - Forbes', 'Elon Musk hints at a new Tesla Autopilot hardware announcement? - Electrek', 'New Adapter Allows BMW Plug-Ins to Use Tesla Destination Chargers - BMWBLOG', 'Caviar introduces iPhone X Tesla with solar panel on the back - GSMArena.com', ""Elon Musk Has Resorted to Sleeping at Tesla's Factory to Try to Get ... - Entrepreneur"", 'Buying biotech and finding the next Tesla - Investors Chronicle', 'Meet the DIY Mechanics Retrofitting Classic Cars With Electric Motors - VICE', 'Thom Yorke Had a Chat with Benedict Cumberbatch About Monks ... - VICE', 'HTC U11+ almost became the Pixel 2 XL - GSMArena.com']"
2017-11-03,"['Tesla hits bumps in pursuit of mass market - Financial Times', ""TRANSPORTATION AND LOGISTICS BRIEFING: Tesla takes major hit from manufacturing woes — A look at XPO's best... - Business Insider"", ""Elon Musk offers rare glimpse inside Tesla's production 'Hell' - The Washington Post"", 'Tesla owner builds a working life-size Supercharger for his garage - TESLARATI', 'Elon Musk Says This Is Why Tesla Just Fired 2 Percent of Its Work ... - Inc.', 'Why the next Tesla should take on agriculture - Eco-Business', '92-year-old driver experiences Tesla Model X and Autopilot after 60 ... - Electrek', ""Developer behind 'Quarry Town' to break ground — yes, there will ... - News-Leader"", 'Caviar iPhone X Tesla Sacrifices Beauty For Solar Charging - SlashGear']"
2017-11-04,"[""Tesla on Tesla Action in Hong Kong Shows They're Both Tough ... - autoevolution"", '92 Year Old Drives a Tesla After a Lifetime of Soviet Cars - The Drive', 'Tesla Model S Is Faster Than a Renault Zoe, But Does Anybody Care? - autoevolution', 'All-Electric Tesla Prototype Imagined For Le Mans In 2030 - CarScoops', 'Call of Duty: WW2 Zombies - How to Get the Tesla Gun - GameRant']"
2017-11-05,['WATCH: 92-year-old Estonian lady trying out Tesla Model X - Estonian World']
2017-11-06,"['Tesla gains a Minnesota engineering center after buying Brooklyn ... - Star Tribune', 'Tesla Model 3 review: Auto journalist calls it “Coolest Car” of the year - TESLARATI', 'Tesla electric semi truck reveal confirmed for November 16 - TechCrunch', 'This Is Why Tesla Is Investing In All-Electric Trucks - Architectural Digest', ""Meet 'Project Hesla,' the first Hydrogen-Powered Tesla Model S - The Drive"", 'See this 92-year old Estonian woman drive a Tesla Model X for the ... - CarsGuide', ""Clubbers warned about super-strong 'Tesla' MDMA tablets after death of teenager at nightclub - Gloucestershire Live"", 'Tesla sells solar lease, PPA securitization - GlobalCapital', 'CoD WW2: How to Upgrade the Tesla Gun (Hurricane, Bloodthirst ... - Twinfinite']"
2017-11-07,"['Tesla’s Dangerous Sprint Into the Future - The New York Times', 'Tesla Buys Automated Machine Maker Amid Production Problems - Bloomberg', 'A look at the company Tesla just bought as the owner gets ~$10 ... - Electrek', 'Tesla knew about Dyson electric car two years before it was announced - Autoblog', 'This modified Tesla Model S packs a $40,000 paint job - Autoblog', 'What If Tesla Built A Le Mans Prototype Racer? - CarBuzz']"
2017-11-08,"['Tesla bought a company to help automate its factories - CNBC', 'Elon Musk with Erdogan to discuss Tesla SpaceX cooperation with Turkey - Business Insider', 'Tesla and SpaceX chief Elon Musk meets Erdogan in Turkey - The Seattle Times', 'Report Claims Tesla Model S Is Less Eco-Friendly Than Mitsubishi Mirage - CarScoops', 'A big 48 MWh Tesla Powerpack system will power the island of ... - Electrek', ""First look at Tesla's new kind of Supercharger with solar arrays and ... - Electrek"", 'How to Bet with Tesla Inc Bears - InvestorPlace', ""The Invisible Hours turns Nikola Tesla's murder into a VR whodunit - VentureBeat"", 'A new all-electric and autonomous taxi platform hits the roads ... - Electrek', 'Xiaomi sells over 150K Redmi Y1 phones in 3 minutes - GSMArena.com', 'Call of Duty: WW2 Zombies - How To Get The Tesla Gun | Wonder ... - Gameranx', 'Lotte Rent-A-Car to Offer Tesla Model S in Jeju - The Korea Bizwire']"
2017-11-09,"['Tesla buys automated manufacturing firm as it struggles with ... - The Verge', 'Tesla unlocks even more power in Model S 100D, 0-60 mph now ... - Electrek', 'DCD>Zettastructure: Tesla makes a pitch for the UPS market ... - DatacenterDynamics', 'Tesla Supercharger open in Sioux Falls - Argus Leader', 'Zero To 60 Designs Reveals Tesla Model S Bodykit - CarScoops', 'Nazi Zombies WW2 - How to Get the Tesla Gun, Wonder Weapon - Shacknews', 'It Took Elon Musk Just 3 Minutes to Give the Best Business Advice ... - Inc.', 'Dutch company uses hydrogen fuel to power Tesla Model S - Hydrogen News - Green Hydrogen Report', '電動車要保養Tesla年度維修檢測 - on.cc東網']"
2017-11-10,"[""Tesla's Newest Driving Modes Chill, Easy Entry and What They Do - Torque News"", 'Tesla Is A Software Company (NASDAQ:TSLA) - Seeking Alpha', ""Tesla Model S and Model X: Here's how wheel size can affect ... - Electrek"", 'Debunking Myth Shows Why Tesla Pollutes Environment More Than Mitsubishi Mirage - Torque News', 'Tesla Model S Has $40000 Paint and $6500 Body Kit by Zero to 60 ... - autoevolution', 'A Tesla Model S that runs on hydrogen fuel cells? Dutch firm claims ... - Green Car Reports', 'Tesla CEO Elon Musk’s Atatürk post on Instagram gets nearly 1 million likes | Daily Sabah - Daily Sabah', 'Leap Motor LP-S01 Electric Sportscar Unveiled in China - CarNewsChina.com', 'The Paint Job On This Modified Tesla Model S Costs $40000 - CarBuzz']"
2017-11-11,[]
2017-11-12,"['The Tesla Model S P100D is still the coolest car you can buy - CNBC', 'Call of Duty: WW2 Zombies - How to Upgrade the Tesla Gun - GameRant']"
